Отель 5 звезд "Зефирка"	Завтрак включен в стоимость проживания	2024-09-29T10:20:22.637Z	Cologne	https://six-cities.ru/images/97911/0	https://six-cities.ru/images/97911/1;https://six-cities.ru/images/97911/2;https://six-cities.ru/images/97911/3;https://six-cities.ru/images/97911/4;https://six-cities.ru/images/97911/5;https://six-cities.ru/images/97911/6	false	true	1.4	house	2	1	430082.78	Washer;Towels	https://six-cities/users/jotaro_kujo	80.388485	0.341459
Дом очень большой в Екатеринбурге	Рядом находится магазин и парк	2024-09-29T10:20:22.633Z	Brussels	https://six-cities.ru/images/8345/0	https://six-cities.ru/images/8345/1;https://six-cities.ru/images/8345/2;https://six-cities.ru/images/8345/3;https://six-cities.ru/images/8345/4;https://six-cities.ru/images/8345/5;https://six-cities.ru/images/8345/6	false	true	3.9	apartment	1	3	320567.06	Laptop friendly workspace	https://six-cities/users/lion	70.978648	125.979894
Дом очень большой в Екатеринбурге	Торговый центр в шаговой доступности от жилья!	2024-09-29T10:20:22.638Z	Brussels	https://six-cities.ru/images/29031/0	https://six-cities.ru/images/29031/1;https://six-cities.ru/images/29031/2;https://six-cities.ru/images/29031/3;https://six-cities.ru/images/29031/4;https://six-cities.ru/images/29031/5;https://six-cities.ru/images/29031/6	true	false	3.7	apartment	2	9	259150.34	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer	https://six-cities/users/kekich	18.063684	134.904645
Дом у озера "Скрипучее"	Завтрак включен в стоимость проживания	2024-09-29T10:20:22.635Z	Brussels	https://six-cities.ru/images/29129/0	https://six-cities.ru/images/29129/1;https://six-cities.ru/images/29129/2;https://six-cities.ru/images/29129/3;https://six-cities.ru/images/29129/4;https://six-cities.ru/images/29129/5;https://six-cities.ru/images/29129/6	true	true	4.5	room	5	3	491593.25	Laptop friendly workspace;Baby seat	https://six-cities/users/malysh_svetlana	64.551143	33.625031
Отель 5 звезд "Зефирка"	Торговый центр в шаговой доступности от жилья!	2024-09-29T10:20:22.641Z	Cologne	https://six-cities.ru/images/21836/0	https://six-cities.ru/images/21836/1;https://six-cities.ru/images/21836/2;https://six-cities.ru/images/21836/3;https://six-cities.ru/images/21836/4;https://six-cities.ru/images/21836/5;https://six-cities.ru/images/21836/6	true	false	2.6	house	5	2	363250.67	Towels	https://six-cities/users/oleg	6.915697	19.339972
Небольшая комнатка для ночевки	Недалеко кинотеатр под открытым небом!	2024-09-29T10:20:22.642Z	Hamburg	https://six-cities.ru/images/53039/0	https://six-cities.ru/images/53039/1;https://six-cities.ru/images/53039/2;https://six-cities.ru/images/53039/3;https://six-cities.ru/images/53039/4;https://six-cities.ru/images/53039/5;https://six-cities.ru/images/53039/6	true	true	3.4	house	4	4	127641.61		https://six-cities/users/kekich	88.048826	167.520852
Дом у озера "Скрипучее"	Классное место, чтобы отдохнуть от рутины	2024-09-29T10:20:22.645Z	Cologne	https://six-cities.ru/images/33471/0	https://six-cities.ru/images/33471/1;https://six-cities.ru/images/33471/2;https://six-cities.ru/images/33471/3;https://six-cities.ru/images/33471/4;https://six-cities.ru/images/33471/5;https://six-cities.ru/images/33471/6	true	true	3.6	house	1	10	150599.73	Washer	https://six-cities/users/kiborg213	33.571313	110.283376
Дом очень большой в Екатеринбурге	Рядом находится магазин и парк	2024-09-29T10:20:22.641Z	Amsterdam	https://six-cities.ru/images/14672/0	https://six-cities.ru/images/14672/1;https://six-cities.ru/images/14672/2;https://six-cities.ru/images/14672/3;https://six-cities.ru/images/14672/4;https://six-cities.ru/images/14672/5;https://six-cities.ru/images/14672/6	false	false	4.6	room	2	8	136289.56		https://six-cities/users/kirpich	63.50871	64.631787
Небольшая комнатка для ночевки	Рядом находится магазин и парк	2024-09-29T10:20:22.641Z	Cologne	https://six-cities.ru/images/9325/0	https://six-cities.ru/images/9325/1;https://six-cities.ru/images/9325/2;https://six-cities.ru/images/9325/3;https://six-cities.ru/images/9325/4;https://six-cities.ru/images/9325/5;https://six-cities.ru/images/9325/6	false	true	2.8	hotel	3	4	327279.44	Baby seat;Washer;Towels	https://six-cities/users/kirpich	35.102959	161.598436
Небольшая комнатка для ночевки	Торговый центр в шаговой доступности от жилья!	2024-09-29T10:20:22.643Z	Amsterdam	https://six-cities.ru/images/90318/0	https://six-cities.ru/images/90318/1;https://six-cities.ru/images/90318/2;https://six-cities.ru/images/90318/3;https://six-cities.ru/images/90318/4;https://six-cities.ru/images/90318/5;https://six-cities.ru/images/90318/6	true	false	3.3	hotel	1	1	80311.35	Laptop friendly workspace;Baby seat	https://six-cities/users/kiborg213	49.557332	22.546575
